Symbol	Scientific Name	Common Name	Fact Sheets	Plant Guides
LEAN3	Leymus angustus	Altai wildrye	 	doc pdf
LECI4	Leymus cinereus	basin wildrye	 	doc pdf
LEMU11	Leymus multicaulis	manystem wildrye	doc pdf	doc pdf
LERA5	Leymus racemosus	mammoth wildrye	 	doc pdf
LETR5	Leymus triticoides	beardless wildrye	 	doc pdf
LIPU	Liatris punctata	dotted blazing star	doc pdf	doc pdf
LIPY	Liatris pycnostachya	prairie blazing star	doc pdf	doc pdf
LISI	Ligustrum sinense	Chinese privet	 	doc pdf
LIPA	Lilium pardalinum	leopard lily	 	doc pdf
LIBE3	Lindera benzoin	northern spicebush	 	doc pdf
LIBEB	Lindera benzoin var. benzoin	northern spicebush	 	doc pdf
LIBEP	Lindera benzoin var. pubescens	northern spicebush	 	doc pdf
LILE3	Linum lewisii	Lewis flax	 	doc pdf
LIPE2	Linum perenne	blue flax	doc pdf	doc pdf
LIST2	Liquidambar styraciflua	sweetgum	doc pdf	doc pdf
LITU	Liriodendron tulipifera	tuliptree	doc pdf	 
LOCA2	Lobelia cardinalis	cardinalflower	 	doc pdf
LOIN	Lobelia inflata	Indian-tobacco	 	doc pdf
LOSI	Lobelia siphilitica	great blue lobelia	 	doc pdf
LOPE	Lolium perenne	perennial ryegrass	doc pdf	 
LOPEM2	Lolium perenne ssp. multiflorum	Italian ryegrass	doc pdf	 
LOPEP	Lolium perenne ssp. perenne	perennial ryegrass	 	doc pdf
LODI	Lomatium dissectum	fernleaf biscuitroot	 	doc pdf
LOGR	Lomatium grayi	Gray's biscuitroot	 	doc pdf
LONU2	Lomatium nudicaule	barestem biscuitroot	 	doc pdf
LOTR2	Lomatium triternatum	nineleaf biscuitroot	 	doc pdf
LOCA7	Lonicera canadensis	American fly honeysuckle	doc pdf	 
LOIN5	Lonicera involucrata	twinberry honeysuckle	doc pdf	doc pdf
LOCO6	Lotus corniculatus	bird's-foot trefoil	doc pdf	 
LOCR	Lotus crassifolius	big deervetch	doc pdf	doc pdf
LOUT3	Lotus utahensis	Utah bird's-foot trefoil	 	doc pdf
LUDE4	Ludwigia decurrens	wingleaf primrose-willow	 	doc pdf
LUAL22	Lupinus albus	white lupine	 	doc pdf
LUDEA	Lupinus densiflorus var. aureus	whitewhorl lupine	doc pdf	 
LUEL4	Lupinus elegans	elegant lupine	doc pdf	 
LUNO	Lupinus nootkatensis	Nootka lupine	 	doc pdf
LUPE3	Lupinus perennis	sundial lupine	 	doc pdf
LUPO2	Lupinus polyphyllus	bigleaf lupine	 	doc pdf
LURI	Lupinus rivularis	riverbank lupine	doc pdf	 
LUSE4	Lupinus sericeus	silky lupine	 	doc pdf
LYSA2	Lythrum salicaria	purple loosestrife	 	doc pdf
MABIB	Machaeranthera bigelovii var. bigelovii	Bigelow's tansyaster	 	doc pdf
MACA2	Machaeranthera canescens	hoary tansyaster	 	doc pdf
MAPO	Maclura pomifera	Osage-orange	doc pdf	doc pdf
MAEL	Madia elegans	common madia	 	doc pdf
MAGL2	Madia glomerata	mountain tarweed	 	doc pdf
MAGR3	Madia gracilis	grassy tarweed	 	doc pdf
MASA	Madia sativa	coast tarweed	 	doc pdf
MAGR4	Magnolia grandiflora	southern magnolia	 	doc pdf
MAVI2	Magnolia virginiana	sweetbay	 	doc pdf
